transaction_id,household_id,date,category,amount,payment_mode,city
1,HH271,23-10-2025,Transport,3031,Debit Card,Mumbai
2,HH334,05-05-2025,Medical,2072,Credit Card,Mumbai
3,HH390,04-01-2025,Shopping,2402,Credit Card,Mumbai
4,HH406,19-01-2025,Groceries,3969,Credit Card,Mumbai
5,HH406,19-01-2025,Medical,907,upi,Pune
6,HH363,30-11-2025,Education,3857,Cash,Delhi
7,HH588,30-01-2025,Grocceries,4900,UPI,Delhi
8,HH604,22-05-2025,Internet,131,Credit Card,Mumbai
9,HH494,06-10-2025,Internet,4554,UPI,Pune
10,HH132,08-10-2025,Fuel,653,UPI,Pune
11,HH770,17-11-2025,Entertainment,160,Credit Card,Indore
12,HH177,20-11-2025,Internet,4250,Credit Card,Delhi
13,HH486,06-05-2025,Transport,2347,Debit Card,Delhi
14,HH455,29-11-2025,Transport,4539,Cash,Delhi
15,HH114,08-12-2025,Shopping,3403,upi,Pune
16,HH478,15-08-2025,Medical,4114,upi,Mumbai
17,HH487,17-08-2025,Fuel,1872,Credit Card,Pune
18,HH746,02-12-2025,Groceries,1982,Credit Card,Mumbai
19,HH363,16-05-2025,Grocceries,3816,Debit Card,Delhi
20,HH754,29-11-2025,Internet,4653,UPI,Pune
21,HH231,21-01-2025,Shopping,250,UPI,Delhi
22,HH836,25-11-2025,Fuel,4408,Debit Card,Delhi
23,HH627,12-11-2025,Shopping,3228,UPI,Delhi
24,HH266,30-10-2025,Grocceries,4928,UPI,Delhi
25,HH717,02-08-2025,Medical,4842,Debit Card,Pune
26,HH428,03-05-2025,Groceries,1858,UPI,Pune
27,HH518,14-06-2025,Groceries,3635,Cash,Bhopal
28,HH570,20-10-2025,Rent,21824,Cash,Indore
29,HH349,29-04-2025,Rent,13872,Cash,Bhopal
30,HH539,24-06-2025,Shopping,979,Cash,Indore
31,HH510,17-02-2025,Electricity,1556,UPI,Indore
32,HH579,20-06-2025,Transport,2619,UPI,Bhopal
33,HH328,23-05-2025,Internet,1750,upi,Indore
34,HH313,01-05-2025,Internet,1441,Cash,Bhopal
