inventory_id,product_id,stock_quantity,reorder_level,warehouse_location,last_restock_date
I0001,P0001,501,86,Delhi,29-08-2025
I0002,P0002,429,71,Bhopal,14-04-2025
I0003,P0003,487,52,Mumbai,11-02-2025
I0004,P0004,787,67,Delhi,09-07-2025
I0005,P0005,352,96,Pune,28-01-2025
I0006,P0006,772,111,Pune,24-07-2025
I0007,P0007,233,84,Indore,22-05-2025
I0008,P0008,457,51,Indore,21-04-2025
I0009,P0009,689,52,Indore,26-07-2025
I0010,P0010,358,30,Indore,27-07-2025
I0011,P0011,705,64,Delhi,03-03-2025
I0012,P0012,177,100,Pune,17-07-2025
I0013,P0013,773,108,Indore,14-05-2025
I0014,P0014,122,88,Pune,14-07-2025
I0015,P0015,125,56,Pune,25-02-2025
I0016,P0016,189,24,Mumbai,02-08-2025
I0017,P0017,504,77,Indore,10-03-2025
I0018,P0018,108,26,Pune,26-02-2025
I0019,P0019,668,25,Bhopal,15-02-2025
I0020,P0020,85,38,Pune,03-05-2025
I0021,P0021,285,97,Pune,27-01-2025
I0022,P0022,128,88,Mumbai,15-02-2025
I0023,P0023,377,92,Bhopal,13-04-2025
I0024,P0024,59,92,Delhi,29-01-2025
I0025,P0025,692,44,Delhi,15-04-2025
I0026,P0026,152,102,Mumbai,14-02-2025
I0027,P0027,372,46,Bhopal,14-05-2025
I0028,P0028,244,55,Indore,03-08-2025
I0029,P0029,105,88,Pune,29-04-2025
I0030,P0030,582,111,Pune,07-03-2025
I0031,P0031,503,40,Indore,23-07-2025
I0032,P0032,563,99,Mumbai,21-08-2025
I0033,P0033,771,99,Delhi,09-02-2025
I0034,P0034,16,80,Delhi,16-04-2025
I0035,P0035,779,24,Delhi,08-03-2025
I0036,P0036,571,107,Indore,08-03-2025
I0037,P0037,695,24,Bhopal,07-03-2025
I0038,P0038,632,42,Indore,14-07-2025
I0039,P0039,532,60,Delhi,21-07-2025
I0040,P0040,31,52,Indore,08-04-2025
I0041,P0041,143,117,Indore,28-02-2025
I0042,P0042,215,117,Indore,04-03-2025
I0043,P0043,357,20,Mumbai,29-05-2025
I0044,P0044,453,75,Bhopal,29-03-2025
I0045,P0045,474,55,Mumbai,02-04-2025
I0046,P0046,179,53,Bhopal,09-01-2025
I0047,P0047,252,87,Pune,25-02-2025
I0048,P0048,693,104,Pune,06-02-2025
I0049,P0049,179,59,Delhi,22-03-2025
I0050,P0050,533,64,Delhi,02-04-2025
I0051,P0051,445,51,Pune,22-03-2025
I0052,P0052,780,51,Indore,20-01-2025
I0053,P0053,768,117,Delhi,17-08-2025
I0054,P0054,215,106,Pune,02-08-2025
I0055,P0055,93,114,Indore,18-06-2025
I0056,P0056,402,118,Mumbai,06-08-2025
I0057,P0057,500,39,Bhopal,15-02-2025
I0058,P0058,95,116,Indore,05-06-2025
I0059,P0059,745,40,Pune,23-01-2025
I0060,P0060,223,66,Indore,15-03-2025
I0061,P0061,592,73,Bhopal,22-08-2025
I0062,P0062,324,60,Bhopal,03-04-2025
I0063,P0063,276,45,Indore,21-06-2025
I0064,P0064,749,51,Indore,03-01-2025
I0065,P0065,231,80,Pune,28-06-2025
I0066,P0066,277,120,Pune,29-05-2025
I0067,P0067,170,64,Pune,28-04-2025
I0068,P0068,439,26,Bhopal,22-06-2025
I0069,P0069,583,20,Indore,20-04-2025
I0070,P0070,498,95,Delhi,28-08-2025
I0071,P0071,275,59,Delhi,27-01-2025
I0072,P0072,779,37,Pune,19-02-2025
I0073,P0073,381,82,Indore,07-07-2025
I0074,P0074,436,51,Indore,31-07-2025
I0075,P0075,470,51,Bhopal,10-07-2025
I0076,P0076,767,110,Mumbai,06-05-2025
I0077,P0077,483,20,Bhopal,30-06-2025
I0078,P0078,480,54,Pune,23-06-2025
I0079,P0079,655,56,Bhopal,28-07-2025
I0080,P0080,158,22,Indore,08-05-2025
I0081,P0081,514,104,Mumbai,28-07-2025
I0082,P0082,417,47,Bhopal,28-02-2025
I0083,P0083,121,65,Delhi,29-06-2025
I0084,P0084,277,52,Indore,16-03-2025
I0085,P0085,226,59,Bhopal,12-08-2025
I0086,P0086,503,44,Delhi,12-08-2025
I0087,P0087,659,95,Delhi,11-08-2025
I0088,P0088,313,23,Mumbai,30-07-2025
I0089,P0089,594,57,Bhopal,23-07-2025
I0090,P0090,370,51,Indore,26-03-2025
I0091,P0091,475,73,Pune,26-06-2025
I0092,P0092,589,41,Pune,05-02-2025
I0093,P0093,798,113,Bhopal,10-03-2025
I0094,P0094,599,93,Mumbai,12-02-2025
I0095,P0095,786,35,Mumbai,03-01-2025
I0096,P0096,787,115,Bhopal,23-07-2025
I0097,P0097,228,33,Bhopal,17-07-2025
I0098,P0098,38,92,Indore,09-06-2025
I0099,P0099,81,41,Indore,30-01-2025
I0100,P0100,599,32,Pune,30-04-2025
I0101,P0101,247,105,Pune,30-04-2025
I0102,P0102,44,74,Mumbai,03-04-2025
I0103,P0103,60,119,Pune,19-05-2025
I0104,P0104,694,117,Bhopal,21-06-2025
I0105,P0105,256,75,Indore,09-07-2025
I0106,P0106,581,23,Pune,23-07-2025
I0107,P0107,694,118,Delhi,28-07-2025
I0108,P0108,657,118,Delhi,20-01-2025
I0109,P0109,738,56,Mumbai,06-09-2025
I0110,P0110,482,69,Mumbai,12-06-2025
I0111,P0111,507,80,Mumbai,04-03-2025
I0112,P0112,350,54,Mumbai,31-05-2025
I0113,P0113,22,108,Pune,25-08-2025
I0114,P0114,7,30,Mumbai,09-04-2025
I0115,P0115,431,102,Mumbai,07-02-2025
I0116,P0116,610,21,Pune,02-06-2025
I0117,P0117,407,21,Pune,16-03-2025
I0118,P0118,210,109,Bhopal,01-09-2025
I0119,P0119,536,31,Indore,07-09-2025
I0120,P0120,688,96,Bhopal,24-02-2025
I0121,P0121,417,61,Delhi,29-08-2025
I0122,P0122,506,50,Delhi,18-01-2025
I0123,P0123,367,23,Bhopal,15-06-2025
I0124,P0124,283,101,Delhi,20-05-2025
I0125,P0125,160,28,Indore,20-01-2025
I0126,P0126,750,112,Pune,23-05-2025
I0127,P0127,146,62,Delhi,23-05-2025
I0128,P0128,292,58,Bhopal,16-08-2025
I0129,P0129,689,78,Bhopal,07-06-2025
I0130,P0130,63,78,Indore,05-09-2025
I0131,P0131,712,95,Pune,29-05-2025
I0132,P0132,419,49,Mumbai,19-03-2025
I0133,P0133,456,99,Bhopal,11-06-2025
I0134,P0134,427,40,Indore,20-02-2025
I0135,P0135,244,20,Pune,20-05-2025
I0136,P0136,438,30,Delhi,02-03-2025
I0137,P0137,171,30,Delhi,30-08-2025
I0138,P0138,413,117,Bhopal,02-06-2025
I0139,P0139,668,85,Delhi,11-06-2025
I0140,P0140,407,65,Delhi,15-04-2025
I0141,P0141,533,45,Pune,04-06-2025
I0142,P0142,142,45,Mumbai,17-04-2025
I0143,P0143,666,43,Bhopal,23-06-2025
I0144,P0144,259,73,Mumbai,02-08-2025
I0145,P0145,752,58,Indore,22-06-2025
I0146,P0146,647,32,Pune,13-07-2025
I0147,P0147,513,55,Mumbai,09-04-2025
I0148,P0148,552,55,Bhopal,23-04-2025
I0149,P0149,458,112,Delhi,18-03-2025
I0150,P0150,617,88,Mumbai,26-01-2025
I0151,P0151,448,85,Delhi,23-05-2025
I0152,P0152,608,60,Indore,10-05-2025
I0153,P0153,631,43,Delhi,14-07-2025
I0154,P0154,38,27,Delhi,28-01-2025
I0155,P0155,454,58,Mumbai,03-05-2025
