order_id,order_date,product_id,customer_id,quantity_sold,payment_mode,region,sales_amount,profit
1,27-11-2025,P0422,C1088,1,Card,West,1818,-57.11
2,20-04-2025,P0553,C2455,2,Card,East,4596,949.03
3,29-04-2025,P0542,C2665,5,UPI,Central,9820,208.26
4,13-01-2025,P0688,C2963,1,Card,North,1989,25.41
5,14-09-2025,P0028,C4475,1,UPI,South,600,45.88
6,23-08-2025,P0373,C1931,7,upi,North,14063,2157.94
7,22-05-2025,P0612,C7574,7,Cash,West,4151,610.55
8,31-01-2025,P0428,C2198,8,Card,North,4992,131.83
9,04-05-2025,P0677,C6132,10,UPI,East,19750,2193.48
10,12-10-2025,P0368,C5080,8,UPI,North,18184,131.69
11,13-11-2025,P1149,C7482,2,Cash,South,4126,623.21
12,08-07-2025,P0768,C6332,10,Cash,South,16850,-644.12
13,30-10-2025,P1111,C5566,6,upi,South,14082,1158.34
14,11-04-2025,P0645,C8057,6,Net Banking,South,8286,898.32
15,09-08-2025,P0620,C8449,10,UPI,East,8910,37.79
16,07-07-2025,P0219,C8428,7,Net Banking,West,6125,1422.37
17,17-08-2025,P0952,C4927,10,Net Banking,Central,17260,1394.06
18,25-03-2025,P0802,C5216,7,Card,East,1498,52.1
19,23-12-2025,P0443,C6923,2,Cash,West,4188,595.23
20,14-10-2025,P0170,C1808,7,upi,West,14175,3352.88
21,01-09-2025,P0359,C6776,4,Card,East,9960,282.84
22,26-12-2025,P0141,C1896,2,UPI,North,578,144.09
23,01-07-2025,P0263,C4860,1,UPI,South,724,3.03
24,05-03-2025,P0043,C7590,3,UPI,South,1437,48.01
25,30-06-2025,P0527,C2345,8,UPI,West,13624,2316.54
26,22-01-2025,P0049,C1008,7,upi,South,4886,691.35
27,02-12-2025,P0327,C6467,4,Cash,East,2456,271.31
28,29-04-2025,P0987,C2995,7,upi,North,6832,943.22
29,12-05-2025,P0318,C7752,4,upi,East,2768,-124.51
30,03-06-2025,P0618,C9129,1,upi,Central,1926,-48.02
31,05-05-2025,P0546,C9370,1,UPI,East,628,34.94
32,04-05-2025,P0586,C7308,2,Net Banking,South,4568,139.95
33,12-10-2025,P0394,C9814,4,Cash,West,7824,425.41
34,30-05-2025,P0191,C7433,10,Cash,West,2100,-43.89
35,30-12-2025,P0153,C3109,9,Cash,West,9225,2292.22
36,09-07-2025,P0588,C1850,2,Net Banking,West,634,112.45
37,11-09-2025,P0235,C6689,4,Net Banking,West,8216,59.82
38,02-07-2025,P0648,C7535,5,Net Banking,Central,11460,79.7
39,05-05-2025,P0991,C7379,2,Net Banking,West,3438,-125.44
40,11-05-2025,P1113,C4441,9,Cash,West,18720,813.13
41,16-02-2025,P0709,C5732,1,Cash,West,253,-7.73
42,14-11-2025,P0919,C4056,10,upi,North,840,167.16
43,07-02-2025,P0817,C1588,1,Card,Central,2425,112.67
44,14-06-2025,P0702,C3690,10,Card,North,23730,1522.69
45,03-03-2025,P1134,C9356,3,Card,East,7302,271.88
46,20-02-2025,P0769,C1173,9,Card,East,20538,4379.61
47,25-02-2025,P0833,C4189,1,upi,West,828,-14.45
48,13-05-2025,P0252,C5944,6,upi,West,12090,2359.91
49,28-06-2025,P0088,C7199,79,upi,West,64385,9158.25
50,23-02-2025,P0948,C5780,9,upi,North,13437,2160.93
51,19-06-2025,P1200,C5932,3,upi,South,7113,882.79
52,10-01-2025,P0882,C6992,7,upi,East,14056,2759.43
53,13-06-2025,P0120,C8865,9,Net Banking,South,11160,1842.77
54,20-07-2025,P0461,C7408,10,Net Banking,Central,9620,507.3
55,05-09-2025,P0115,C7818,6,Cash,East,7494,655.96
56,14-09-2025,P0933,C9009,7,UPI,East,1813,-17.88
57,29-09-2025,P0976,C3605,5,Cash,South,3205,435.85
58,15-04-2025,P0361,C1316,2,Cash,East,3516,219.58
59,07-08-2025,P0634,C1689,2,Card,West,2478,-104.09
60,14-07-2025,P0841,C3818,4,Cash,Central,7384,70.55
61,14-02-2025,P0516,C3346,3,Card,East,2157,295.5
62,02-02-2025,P0708,C4421,2,Card,West,1380,170.29
63,27-06-2025,P0690,C5908,8,Cash,West,8808,747.86
64,06-07-2025,P0594,C3388,7,UPI,East,17283,4015.23
65,07-06-2025,P1086,C7714,8,upi,North,10296,1178.17
66,10-07-2025,P0403,C5150,5,Net Banking,West,10330,1764.07
67,18-11-2025,P1023,C6019,7,UPI,South,14462,3414.61
68,07-12-2025,P0467,C7310,2,Net Banking,South,2052,54.24
69,30-11-2025,P0919,C2259,8,upi,East,672,114.48
70,05-09-2025,P0008,C3637,5,upi,East,6055,626.43
71,10-07-2025,P0383,C7795,2,Net Banking,West,2144,256.63
72,10-11-2025,P0825,C1604,4,UPI,West,3008,525.85
73,08-02-2025,P0128,C7691,8,Card,East,16144,2863.36
74,10-11-2025,P0796,C6283,6,Card,West,1872,145.05
75,05-03-2025,P0672,C2205,6,Net Banking,East,7092,1267.84
76,29-04-2025,P0626,C4186,5,Cash,West,7885,535.53
77,28-10-2025,P0605,C3444,7,Card,West,7966,962.74
78,20-12-2025,P0029,C9637,4,UPI,South,2148,67.64
79,04-12-2025,P1156,C2958,7,upi,South,15302,803.98
80,03-10-2025,P0621,C2434,4,Card,North,8132,1540.75
81,15-05-2025,P0425,C4167,6,upi,South,2796,483
82,20-02-2025,P0538,C3995,3,Card,Central,5958,142.35
83,25-08-2025,P1070,C3737,9,Net Banking,South,2079,391.95
84,15-01-2025,P0061,C4579,1,Cash,North,1538,104.34
85,15-10-2025,P0890,C1581,6,Net Banking,South,2838,161.95
86,01-12-2025,P0603,C8329,2,Cash,Central,980,121.49
87,08-05-2025,P1042,C9448,4,upi,North,8396,1883.57
88,24-08-2025,P0962,C6286,2,upi,North,1928,-21.71
89,31-03-2025,P0208,C2249,6,Card,South,5634,1168.81
90,17-12-2025,P0574,C7275,6,Card,South,10746,747.56
91,01-07-2025,P0748,C6454,7,Net Banking,West,3073,548.95
92,16-02-2025,P0214,C2950,7,UPI,East,3220,698.6
93,09-12-2025,P0558,C6625,1,UPI,South,2099,148.29
94,09-04-2025,P0606,C6188,8,UPI,West,15200,270.44
95,16-07-2025,P0114,C1973,8,UPI,East,15048,1114.93
96,25-08-2025,P0600,C3146,2,Cash,North,3340,294.54
97,13-01-2025,P0682,C4748,9,UPI,North,5121,1057.28
98,06-12-2025,P1006,C7573,1,Net Banking,West,1997,-30.35
99,03-04-2025,P0703,C6915,4,Cash,South,4212,-127.24
100,07-05-2025,P0187,C9808,1,Net Banking,Central,900,163.74
101,08-08-2025,P0955,C4578,9,upi,East,10575,1109.4
102,03-11-2025,P0127,C9957,8,Net Banking,West,9464,-241.31
103,21-10-2025,P0296,C3035,7,Net Banking,Central,16289,650.22
104,05-10-2025,P0883,C8226,10,Card,West,19260,4719.33
105,10-12-2025,P1082,C7306,6,UPI,Central,2280,62.68
106,26-04-2025,P0028,C2041,8,UPI,North,4800,-153.79
107,11-08-2025,P0724,C6709,9,Net Banking,South,21429,2553.22
108,29-09-2025,P0690,C7451,6,UPI,East,6606,846.58
109,31-05-2025,P0288,C7191,2,UPI,West,558,24.21
110,31-10-2025,P1062,C8973,9,Cash,West,12807,-477.17
111,07-02-2025,P0308,C2204,7,Cash,North,2828,34.6
112,14-10-2025,P0705,C9664,2,Net Banking,North,3534,269.34
113,09-07-2025,P0517,C7803,10,UPI,Central,4590,-121.11
114,01-12-2025,P1049,C8266,7,upi,South,15491,-615.28
115,08-12-2025,P0900,C4350,9,Card,East,2232,288.41
116,12-10-2025,P0768,C3149,8,Card,South,13480,-88.27
117,02-07-2025,P1128,C8737,4,UPI,North,8800,1523.84
118,11-10-2025,P0860,C9100,9,upi,East,16065,2823.49
119,06-02-2025,P0265,C6591,10,Cash,South,15240,1858.43
120,21-09-2025,P0712,C4447,8,Net Banking,South,12424,-317.93
121,27-11-2025,P0169,C8726,7,UPI,South,14476,2417.32
122,19-07-2025,P0092,C8313,9,UPI,Central,22473,3060.32
123,27-09-2025,P1066,C1901,7,Net Banking,East,10325,1301.93
124,11-03-2025,P0240,C2454,10,Net Banking,Central,23770,518.44
125,20-11-2025,P0066,C9505,9,Card,North,15471,1322.82
126,30-07-2025,P0090,C1014,2,Card,North,1406,63.84
127,07-08-2025,P1031,C9736,10,Card,West,17420,2144.75
128,29-07-2025,P0339,C7146,6,Cash,Central,10020,294.51
129,19-06-2025,P0082,C3784,5,UPI,South,8095,1139.32
130,21-06-2025,P0530,C7294,4,Cash,West,2332,148.73
131,10-04-2025,P0494,C6030,7,UPI,South,11305,2524.06
132,17-12-2025,P0045,C4079,10,Net Banking,Central,10300,827.41
133,20-11-2025,P0113,C3633,4,upi,North,4984,323.65
134,17-04-2025,P0488,C1987,6,Card,Central,13512,2190.37
135,24-11-2025,P1024,C8309,1,Net Banking,South,1635,337.34
136,04-01-2025,P0843,C6473,6,UPI,South,216,25.05
137,11-01-2025,P0354,C3559,7,upi,North,12047,3009.98
138,29-09-2025,P0749,C6355,7,Card,North,3472,585.49
139,16-08-2025,P0738,C3401,5,Net Banking,Central,2140,67.63
140,01-10-2025,P0715,C4660,6,UPI,West,4398,-36.56
141,21-08-2025,P0708,C4988,10,Cash,South,6900,1247.26
142,09-09-2025,P1019,C8924,1,Card,North,705,31.01
143,18-03-2025,P0857,C8874,1,UPI,South,509,-10.34
144,23-10-2025,P1087,C2766,2,Cash,East,876,19.37
145,08-08-2025,P0095,C7557,4,upi,Central,5640,-274.66
146,29-06-2025,P0042,C8483,1,upi,East,1821,33.42
147,17-02-2025,P0932,C2093,8,Cash,South,11216,690.47
148,20-12-2025,P1053,C9549,6,UPI,North,13932,230.64
149,02-07-2025,P1038,C4753,2,Card,South,3656,497.28
150,22-09-2025,P0190,C8058,8,Card,Central,16168,1821.44
151,29-03-2025,P0540,C2686,8,upi,West,5400,478.16
152,18-11-2025,P0740,C1317,10,Card,South,8220,-12.83
153,19-02-2025,P0544,C9168,3,Net Banking,North,7209,477.98
154,27-09-2025,P0693,C3160,3,upi,East,4716,-40.19
155,14-09-2025,P0680,C8070,6,upi,South,11298,2472.12
156,16-01-2025,P0194,C7137,4,Cash,South,3380,-29.58
157,24-11-2025,P0912,C8517,8,Cash,North,12328,2092.35
158,20-11-2025,P0263,C2750,9,UPI,North,6516,429.56
159,03-01-2025,P0004,C9933,9,UPI,North,6093,618.66
160,30-11-2025,P0374,C5016,7,Card,West,17283,1602.22
161,14-08-2025,P0795,C8705,7,Net Banking,West,16681,342.26
