transaction_id,household_id,date,category,amount,payment_mode,city
1,HH479,2025-09-19,Rent,21278,UPI,Pune
2,HH455,2025-08-05,Education,1504,Cash,Mumbai
3,HH261,2025-01-11,Shopping,6078,Cash,Indore
4,HH476,2025-07-10,Medical,3479,Cash,Pune
5,HH316,2025-02-21,Internet,3843,Cash,Pune
6,HH433,2025-01-07,Groceries,432,Net Banking,Delhi
7,HH861,2025-02-02,Internet,1592,Cash,Bhopal
8,HH412,2025-02-07,Entertainment,3221,Cash,Delhi
9,HH679,2025-09-21,Education,2596,Net Banking,Indore
10,HH851,2025-09-16,Education,1188,Card,Indore
11,HH104,2025-04-09,Medical,430,Cash,Mumbai
12,HH169,2025-12-30,Education,679,UPI,Mumbai
13,HH716,2025-05-24,Shopping,3758,UPI,Bhopal
14,HH458,2025-01-08,Fuel,2737,UPI,Pune
15,HH250,2025-03-01,Groceries,2440,Net Banking,Delhi
16,HH418,2025-10-19,Fuel,1152,UPI,Indore
17,HH655,2025-04-06,Education,1075,UPI,Pune
18,HH564,2025-11-24,Entertainment,3493,Card,Delhi
19,HH201,2025-10-05,Shopping,4350,Cash,Delhi
20,HH724,2025-10-12,Medical,4619,UPI,Bhopal
21,HH335,2025-11-08,Rent,22040,Net Banking,Pune
22,HH429,2025-08-31,Shopping,1057,Net Banking,Pune
23,HH901,2025-06-26,Entertainment,1363,Net Banking,Delhi
24,HH875,2025-01-10,Rent,11162,Card,Bhopal
25,HH394,2025-09-28,Shopping,5258,Net Banking,Mumbai
26,HH842,2025-01-15,Fuel,594,UPI,Delhi
27,HH763,2025-10-14,Shopping,1888,Net Banking,Bhopal
28,HH504,2025-02-14,Rent,24209,Cash,Indore
29,HH310,2025-12-08,Shopping,6537,Net Banking,Mumbai
30,HH771,2025-01-04,Internet,3710,Cash,Pune
31,HH270,2025-01-14,Entertainment,1587,Net Banking,Mumbai
32,HH795,2025-12-26,Medical,4353,UPI,Mumbai
33,HH568,2025-01-20,Education,1778,Cash,Delhi
34,HH570,2025-09-06,Transport,2323,UPI,Bhopal
35,HH551,2025-03-19,Medical,2231,Net Banking,Mumbai
36,HH606,2025-07-28,Transport,3797,Card,Mumbai
37,HH723,2025-06-26,Rent,9980,Net Banking,Delhi
38,HH230,2025-06-14,Groceries,348,Card,Indore
39,HH734,2025-05-11,Internet,2560,Net Banking,Pune
40,HH754,2025-09-16,Education,3308,Net Banking,Indore
41,HH860,2025-12-22,Entertainment,1523,Card,Pune
42,HH523,2025-02-19,Fuel,3280,Card,Mumbai
43,HH740,2025-05-08,Fuel,616,Net Banking,Mumbai
44,HH687,2025-11-03,Internet,3681,UPI,Mumbai
45,HH188,2025-12-01,Entertainment,3075,Card,Indore
46,HH185,2025-12-04,Electricity,1261,UPI,Delhi
47,HH436,2025-09-29,Internet,2895,Net Banking,Indore
48,HH833,2025-05-08,Internet,2998,UPI,Pune
49,HH812,2025-01-05,Shopping,5052,Net Banking,Mumbai
50,HH377,2025-11-01,Medical,1421,Cash,Pune
51,HH914,2025-08-20,Rent,21324,Net Banking,Bhopal
52,HH386,2025-07-11,Rent,18557,UPI,Bhopal
53,HH426,2025-08-20,Internet,3668,Card,Pune
54,HH827,2025-10-26,Groceries,377,UPI,Bhopal
55,HH205,2025-03-27,Rent,20431,Net Banking,Indore
56,HH824,2025-11-09,Education,1430,Net Banking,Delhi
57,HH838,2025-09-12,Fuel,511,Net Banking,Mumbai
58,HH466,2025-09-06,Medical,2157,Net Banking,Bhopal
59,HH551,2025-01-15,Education,1846,UPI,Bhopal
60,HH255,2025-10-21,Groceries,3477,Cash,Indore
61,HH303,2025-07-08,Shopping,1301,Cash,Bhopal
62,HH349,2025-04-17,Electricity,1539,Net Banking,Pune
63,HH791,2025-09-13,Fuel,3523,UPI,Indore
64,HH738,2025-07-17,Medical,1321,Card,Pune
65,HH381,2025-01-20,Shopping,4813,UPI,Indore
66,HH624,2025-10-13,Medical,3230,UPI,Delhi
67,HH988,2025-04-27,Internet,863,Cash,Pune
68,HH641,2025-08-01,Shopping,6601,Cash,Indore
69,HH117,2025-05-17,Education,112,Card,Bhopal
70,HH513,2025-05-03,Rent,14590,Net Banking,Bhopal
71,HH151,2025-05-30,Medical,958,Cash,Delhi
72,HH260,2025-01-26,Transport,1848,Net Banking,Mumbai
73,HH877,2025-07-20,Medical,3758,Card,Indore
74,HH421,2025-05-30,Medical,2091,UPI,Delhi
75,HH905,2025-06-10,Education,459,UPI,Bhopal
76,HH173,2025-04-03,Education,2177,Cash,Bhopal
77,HH499,2025-08-05,Fuel,3917,UPI,Indore
78,HH719,2025-06-07,Transport,1549,Cash,Delhi
79,HH700,2025-10-21,Transport,1738,Cash,Indore
80,HH812,2025-06-04,Internet,1121,Net Banking,Delhi
81,HH347,2025-02-25,Groceries,1602,Cash,Indore
82,HH917,2025-08-27,Education,3409,Card,Delhi
83,HH598,2025-06-30,Internet,1706,UPI,Delhi
84,HH829,2025-12-04,Rent,23238,UPI,Delhi
85,HH258,2025-02-08,Fuel,2928,Card,Mumbai
86,HH386,2025-11-15,Shopping,4807,Cash,Bhopal
87,HH980,2025-10-09,Fuel,1659,UPI,Pune
88,HH254,2025-03-22,Shopping,2442,Cash,Mumbai
89,HH298,2025-11-01,Shopping,2873,UPI,Bhopal
90,HH476,2025-05-26,Electricity,3266,Net Banking,Pune
91,HH248,2025-02-21,Education,762,Card,Delhi
92,HH398,2025-06-25,Internet,2609,Net Banking,Indore
93,HH775,2025-12-24,Education,3454,Net Banking,Mumbai
94,HH672,2025-05-28,Education,3351,Card,Mumbai
95,HH502,2025-08-08,Internet,3708,UPI,Pune
96,HH873,2025-10-27,Medical,2303,Net Banking,Mumbai
97,HH221,2025-10-08,Education,2262,Cash,Bhopal
98,HH864,2025-11-04,Education,779,UPI,Indore
99,HH445,2025-08-30,Shopping,5342,Net Banking,Delhi
100,HH283,2025-10-29,Entertainment,1392,Net Banking,Pune
101,HH284,2025-10-09,Shopping,809,UPI,Mumbai
102,HH932,2025-09-08,Transport,1057,Cash,Pune
103,HH858,2025-01-05,Shopping,6300,Net Banking,Bhopal
104,HH237,2025-10-21,Education,1313,UPI,Delhi
105,HH161,2025-06-06,Groceries,913,UPI,Delhi
106,HH103,2025-10-17,Electricity,3932,Card,Indore
107,HH939,2025-03-22,Education,941,Cash,Pune
108,HH418,2025-06-20,Education,3048,Net Banking,Bhopal
109,HH399,2025-01-20,Internet,1073,UPI,Mumbai
110,HH654,2025-05-23,Internet,1184,Net Banking,Mumbai
111,HH403,2025-02-15,Internet,2709,Cash,Bhopal
112,HH494,2025-01-02,Shopping,1531,Net Banking,Indore
113,HH257,2025-08-02,Entertainment,3217,Cash,Bhopal
114,HH755,2025-03-21,Groceries,961,Net Banking,Delhi
115,HH756,2025-05-17,Education,3075,Card,Indore
116,HH405,2025-06-26,Medical,678,Cash,Indore
117,HH992,2025-04-22,Medical,1839,Net Banking,Pune
118,HH520,2025-03-02,Education,3998,UPI,Pune
119,HH305,2025-03-10,Medical,655,UPI,Pune
120,HH624,2025-12-03,Electricity,1511,Net Banking,Bhopal
121,HH627,2025-07-02,Groceries,2413,Cash,Bhopal
122,HH518,2025-04-25,Internet,2505,Cash,Indore
123,HH956,2025-04-30,Education,1087,UPI,Delhi
124,HH739,2025-01-28,Groceries,426,Cash,Delhi
125,HH271,2025-06-27,Shopping,3768,Card,Bhopal
