transaction_id,household_id,date,category,amount,payment_mode,city
1,HH271,2025-10-23,Transport,3031,Debit Card,Mumbai
2,HH334,2025-05-05,Medical,2072,Credit Card,Mumbai
3,HH390,2025-01-04,Shopping,2402,Credit Card,
4,HH406,2025-01-19,Groceries,3969,Credit Card,Mumbai
5,HH406,2025-01-19,Medical,907,upi,Pune
6,HH363,2025-11-30,Education,3857,Cash,
7,HH588,2025-01-30,Grocceries,4900,UPI,Delhi
8,HH604,2025-05-22,Internet,131,Credit Card,Mumbai
9,HH494,2025-10-06,Internet,4554,UPI,
10,HH132,2025-10-08,Fuel,653,UPI,Pune
11,HH770,2025-11-17,Entertainment,160,Credit Card,Indore
12,HH177,2025-11-20,Internet,4250,Credit Card,
13,HH486,2025-05-06,Transport,2347,Debit Card,
14,HH455,2025-11-29,Transport,4539,Cash,Delhi
15,HH114,2025-12-08,Shopping,3403,upi,Pune
16,HH478,2025-08-15,Medical,4114,upi,Mumbai
17,HH487,2025-08-17,Fuel,1872,Credit Card,Pune
18,HH746,2025-12-02,Groceries,1982,Credit Card,Mumbai
19,HH363,2025-05-16,Grocceries,3816,Debit Card,Delhi
20,HH754,2025-11-29,Internet,4653,UPI,Pune
21,HH231,2025-01-21,Shopping,250,,Delhi
22,HH836,2025-11-25,Fuel,4408,Debit Card,Delhi
23,HH627,2025-11-12,Shopping,3228,UPI,Delhi
24,HH266,2025-10-30,Grocceries,4928,,Delhi
25,HH717,2025-08-02,Medical,4842,Debit Card,Pune
26,HH428,2025-05-03,Groceries,1858,UPI,Pune
27,HH518,2025-06-14,Groceries,3635,Cash,Bhopal
28,HH570,2025-10-20,Rent,21824,,Indore
29,HH349,2025-04-29,Rent,13872,Cash,Bhopal
30,HH539,2025-06-24,Shopping,979,,
31,HH510,2025-02-17,Electricity,1556,UPI,Indore
32,HH579,2025-06-20,Transport,2619,UPI,Bhopal
33,HH328,2025-05-23,Internet,1750,upi,Indore
34,HH313,2025-05-01,Internet,1441,Cash,Bhopal
35,HH727,2025-10-24,Grocceries,2544,Cash,
36,HH245,2025-09-10,Transport,1078,Credit Card,Pune
37,HH958,2025-09-06,Entertainment,3058,Debit Card,
38,HH419,2025-10-08,Education,4553,upi,Bhopal
39,HH793,2025-03-04,Groceries,2943,Credit Card,Delhi
40,HH350,2025-06-28,Entertainment,461,,Delhi
41,HH619,2025-09-13,Electricity,2745,Debit Card,Pune
42,HH525,2025-01-22,Groceries,813,UPI,Indore
43,HH920,2025-10-05,Shopping,2387,Debit Card,Pune
44,HH252,2025-10-31,Rent,24154,Debit Card,Bhopal
45,HH656,2025-04-05,Rent,17136,UPI,Mumbai
46,HH742,2025-09-30,Rent,13954,Debit Card,Indore
47,HH689,01-07-2025,Education,3742,,Pune
48,HH975,2025-12-29,Medical,975,upi,Pune
49,HH219,2025-02-01,Medical,2492,Debit Card,Delhi
50,HH933,2025-07-09,Education,1942,upi,Delhi
51,HH509,2025-12-24,Groceries,354,upi,Pune
52,HH492,2025-11-24,Fuel,1735,UPI,Bhopal
53,HH658,2025-06-16,Internet,668,upi,
54,HH574,2025-07-22,Grocceries,3325,,Delhi
55,HH515,2025-01-15,Education,4553,Credit Card,Pune
56,HH483,2025-04-13,Groceries,1849,upi,Mumbai
57,HH950,2025-01-03,Internet,837,,Pune
58,HH466,2025-09-20,Transport,2001,Debit Card,Indore
59,HH888,2025-01-24,Education,4879,,Pune
60,HH962,2025-02-15,Groceries,4198,UPI,Pune
61,HH937,2025-01-20,Internet,2927,UPI,Pune
62,HH407,2025-04-14,Education,4082,Cash,
63,HH988,2025-05-17,Transport,2943,,Indore
64,HH132,01-02-2025,Fuel,991,upi,Indore
65,HH672,2025-06-10,Shopping,1235,Debit Card,
66,HH330,2025-11-06,Grocceries,852,,
67,HH705,2025-02-09,Internet,755,UPI,
68,HH107,2025-06-15,Medical,4126,Credit Card,
69,HH559,2025-11-03,Grocceries,2917,,Delhi
70,HH573,2025-05-03,Rent,8579,upi,Bhopal
71,HH745,2025-05-03,Education,4644,Credit Card,Bhopal
72,HH964,2025-07-23,Transport,2314,upi,
73,HH369,2025-06-16,Rent,11860,,Indore
74,HH804,2025-09-04,Groceries,1891,upi,Pune
75,HH166,05-05-2025,Fuel,4885,UPI,Pune
76,HH518,2025-05-29,Internet,4382,UPI,Mumbai
77,HH590,2025-06-01,Internet,3469,Debit Card,Bhopal
78,HH637,2025-08-15,Grocceries,2278,Cash,Indore
79,HH974,2025-09-27,Shopping,3892,Debit Card,Indore
80,HH255,2025-12-06,Electricity,1083,Debit Card,Mumbai
81,HH659,2025-12-03,Rent,9145,,Mumbai
82,HH592,2025-06-17,Shopping,3030,Debit Card,
83,HH419,2025-07-08,Education,3040,Credit Card,Bhopal
84,HH165,2025-05-19,Education,3634,Cash,Indore
85,HH230,2025-07-11,Transport,1921,Cash,Delhi
86,HH687,2025-12-20,Fuel,3096,UPI,Bhopal
87,HH118,2025-02-10,Fuel,2064,upi,Pune
88,HH625,2025-12-21,Groceries,3311,Cash,
89,HH441,2025-12-20,Fuel,2692,Cash,
90,HH243,2025-06-03,Grocceries,4994,upi,Indore
91,HH830,2025-05-01,Grocceries,3794,Credit Card,Mumbai
92,HH194,2025-12-02,Medical,4228,,Delhi
93,HH650,2025-04-09,Fuel,3439,upi,Bhopal
94,HH484,2025-02-18,Transport,827,,Mumbai
95,HH174,2025-02-22,Entertainment,4008,Cash,Pune
96,HH987,2025-10-05,Transport,2948,,Indore
97,HH832,2025-08-11,Internet,2583,,Delhi
98,HH712,2025-12-15,Groceries,2370,,Mumbai
99,HH149,2025-03-01,Transport,1982,Cash,Mumbai
100,HH732,2025-11-11,Rent,8742,,
101,HH176,2025-10-10,Education,2115,Credit Card,Delhi
102,HH628,2025-01-30,Fuel,1675,upi,Indore
103,HH419,2025-02-26,Medical,3303,,Pune
104,HH336,2025-12-15,Education,3951,Credit Card,Pune
105,HH111,2025-10-17,Shopping,1721,UPI,Mumbai
106,HH719,2025-03-23,Electricity,2654,Cash,Mumbai
107,HH526,2025-01-06,Grocceries,2289,Debit Card,Bhopal
108,HH690,2025-06-18,Grocceries,4170,Credit Card,Mumbai
109,HH375,30-12-2025,Electricity,1135,Cash,Pune
110,HH552,2025-04-14,Rent,15721,Credit Card,Mumbai
111,HH368,2025-09-04,Transport,3891,upi,Pune
112,HH508,2025-03-24,Shopping,4424,Debit Card,Delhi
113,HH945,2025-11-05,Rent,10593,Credit Card,Mumbai
114,HH506,2025-09-16,Transport,1784,Debit Card,
115,HH960,2025-02-25,Medical,1901,UPI,Delhi
116,HH381,2025-11-05,Education,2938,Cash,Pune
117,HH684,2025-09-16,Transport,660,,Pune
118,HH619,2025-05-16,Education,1633,,Pune
119,HH625,2025-09-10,Shopping,2183,UPI,Delhi
120,HH946,2025-09-04,Education,3364,Credit Card,
121,HH992,2025-05-17,Electricity,3310,upi,Bhopal
122,HH799,2025-10-17,Groceries,4159,UPI,Delhi
123,HH240,2025-11-10,Transport,1647,Debit Card,Indore
124,HH666,2025-11-02,Internet,3950,Debit Card,
125,HH356,2025-12-09,Medical,3001,UPI,Mumbai
126,HH540,2025-10-21,Entertainment,3193,Debit Card,Bhopal
127,HH676,2025-01-07,Internet,3367,Credit Card,Indore
128,HH681,2025-09-10,Groceries,3022,,Pune
129,HH532,2025-03-30,Electricity,1761,Debit Card,Bhopal
130,HH251,2025-07-20,Entertainment,4343,Debit Card,Delhi
131,HH101,2025-03-12,Entertainment,1370,Credit Card,Pune
132,HH954,2025-12-03,Electricity,2619,Cash,Pune
133,HH252,2025-07-01,Transport,2767,UPI,Bhopal
134,HH935,2025-03-25,Rent,10895,upi,
