order_id,order_date,product_id,product_name,category,quantity_sold,unit_price,sales_amount,profit,payment_mode,region
1,2025-10-17,P173,Household_Item_173,Household,5,1970,9850,1394.29,Net Banking,Central
2,2025-03-16,P236,Household_Item_236,Household,3,1812,5436,875.29,Net Banking,East
3,2025-09-09,P032,Household_Item_32,Household,4,1812,7248,1397.6,Net Banking,East
4,2025-07-23,P165,Personal Care_Item_165,Personal Care,1,1683,1683,166.24,UPI,East
5,2025-05-04,P085,Beverages_Item_85,Beverages,8,70,560,84.69,UPI,South
6,2025-01-05,P234,Groceries_Item_234,Groceries,8,153,1224,136.8,Card,South
7,2025-02-15,P006,Stationery_Item_6,Stationery,3,242,726,58.21,UPI,South
8,2025-02-28,P081,Groceries_Item_81,Groceries,5,583,2915,501.36,UPI,North
9,2025-04-30,P111,Snacks_Item_111,Snacks,7,1859,13013,1724.01,Card,Central
10,2025-03-23,P015,Household_Item_15,Household,6,87,522,76.84,UPI,East
11,2025-11-27,P162,Stationery_Item_162,Stationery,8,723,5784,921.18,Net Banking,East
12,2025-02-10,P016,Stationery_Item_16,Stationery,7,503,3521,300.21,UPI,North
13,2025-07-14,P002,Household_Item_2,Household,3,1566,4698,714.18,Cash,South
14,2025-11-03,P101,Groceries_Item_101,Groceries,7,769,5383,975.67,UPI,South
15,2025-01-26,P173,Household_Item_173,Household,8,1970,15760,2357.15,Card,West
16,2025-08-17,P225,Groceries_Item_225,Groceries,7,1982,13874,2366.84,UPI,South
17,2025-07-22,P249,Snacks_Item_249,Snacks,7,1084,7588,1413.01,Net Banking,West
18,2025-06-24,P274,Household_Item_274,Household,3,925,2775,373.57,Cash,Central
19,2025-04-08,P005,Groceries_Item_5,Groceries,8,1230,9840,1806.68,Cash,North
20,2025-07-22,P117,Personal Care_Item_117,Personal Care,2,1730,3460,353.97,Net Banking,South
21,2025-06-09,P238,Stationery_Item_238,Stationery,7,836,5852,836.71,UPI,Central
22,2025-06-12,P017,Personal Care_Item_17,Personal Care,6,185,1110,131.02,Cash,North
23,2025-03-03,P295,Beverages_Item_295,Beverages,1,1426,1426,160.86,UPI,Central
24,2025-02-21,P022,Household_Item_22,Household,5,311,1555,278.31,Card,East
25,2025-12-19,P046,Stationery_Item_46,Stationery,4,1285,5140,452.26,Card,East
26,2025-02-23,P053,Stationery_Item_53,Stationery,3,1122,3366,646.0,Card,West
27,2025-03-31,P195,Personal Care_Item_195,Personal Care,5,1856,9280,1109.07,UPI,East
28,2025-05-28,P015,Household_Item_15,Household,4,87,348,30.1,UPI,East
29,2025-01-17,P217,Snacks_Item_217,Snacks,8,199,1592,264.33,UPI,North
30,2025-03-20,P124,Household_Item_124,Household,6,1636,9816,2104.16,Cash,South
31,2025-10-17,P203,Personal Care_Item_203,Personal Care,1,1388,1388,161.53,Net Banking,East
32,2025-10-06,P108,Groceries_Item_108,Groceries,4,653,2612,354.1,Cash,West
33,2025-10-08,P030,Snacks_Item_30,Snacks,3,325,975,155.13,Card,South
34,2025-02-12,P283,Household_Item_283,Household,3,318,954,128.87,Net Banking,North
35,2025-01-07,P007,Snacks_Item_7,Snacks,2,303,606,63.33,Cash,South
36,2025-02-02,P265,Personal Care_Item_265,Personal Care,1,1433,1433,255.67,Card,West
37,2025-07-20,P044,Stationery_Item_44,Stationery,3,441,1323,221.62,UPI,East
38,2025-11-20,P287,Groceries_Item_287,Groceries,3,900,2700,416.34,Net Banking,East
39,2025-06-10,P170,Snacks_Item_170,Snacks,3,840,2520,357.02,UPI,North
